year_month,Q1_return,Q5_return,long_short_return,n_stocks,n_trading_days,Q1_cumulative,Q5_cumulative,LS_cumulative
2018-07,0.02687747080863101,-0.011492299069645995,-0.038369769878277005,373,22,1.196576797338728,0.9222919231779513,0.7722313473074791
2018-08,-0.07048387110974863,-0.06804297285969907,0.0024408982500495613,376,23,1.1122374325821893,0.8595364388804343,0.7741162854517553
2018-09,0.01943728851974358,0.006862846570198977,-0.012574441949544601,378,19,1.1338563124617482,0.8654353055819659,0.764382205158145
2018-10,-0.06813547255624586,-0.11171709589591183,-0.043581623339665976,380,18,1.0566004768012847,0.7687513865565576,0.7310691878053994
2018-11,0.02194667509045467,0.03661512606009398,0.014668450969639313,383,22,1.079789344166062,0.796899315484198,0.741792840342137
2018-12,-0.016796001510845593,-0.04815886914989387,-0.031362867639048275,389,20,1.0616532007100539,0.7585215456241545,0.7185280896748929
2019-01,0.02857321187362638,0.013400828211145077,-0.015172383662481304,390,22,1.0919880425502557,0.768686362551516,0.7076263058260757
2019-02,0.17380653037218785,0.25357625903060277,0.07976972865841492,393,15,1.2817826954338327,0.9636069747351711,0.7640734642333783
2019-03,0.0861921818143081,0.11977875378743263,0.033586571973124535,394,21,1.3922623425650995,1.079026617309828,0.7897360726326073
2019-04,-0.0037747034103069455,-0.0504991544110307,-0.046724451000723755,395,21,1.3870069651525772,1.0245366855486868,0.752836088203381
2019-05,-0.03964457665762233,-0.07831688620525612,-0.03867230954763379,399,20,1.3320196611979298,0.94429816253346,0.7237221779617501
2019-06,0.017131376686503108,0.015259864500496434,-0.0018715121860066741,399,19,1.3548389917677397,0.9587080245417884,0.7223677230864114
2019-07,0.0016162399144563633,0.0009159202595561133,-0.0007003196549002499,399,23,1.3570287366238964,0.9595861246444652,0.7218618347718685
2019-08,-0.031387272260828714,0.043209247822340924,0.07459652008316964,400,22,1.3144353062017138,1.0010491193111077,0.7757102156267018
2019-09,2.2043342444266756e-05,0.012047836420199465,0.012025793077755198,405,20,1.3144642807492892,1.0131095953491527,0.7850387461681294
2019-10,-0.0030779453464317985,-0.022961858176103966,-0.019883912829672168,406,18,1.310418431533306,0.9898467165038953,0.7694291041714072
2019-11,-0.015056332460996913,-0.006702242657900981,0.008354089803095932,407,21,1.2906883359651224,0.9832125236157597,0.7758569840047707
2019-12,0.08701489325786849,0.11237580840293959,0.025360915145071106,409,22,1.4029974437483035,1.093701825788975,0.7955334271408264
